Scenario,Scenario_Display,Algorithm,Run,Local_Parameter_Index,Global_Parameter_Index,Parameter_Type,cNDI,Within_Niche_Variance,Num_Pareto,K_eff
Malaria,Rural malaria transmission,NSGA-Full,9,3,3,Representative,0.20816820091238358,0.003611166655924875,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,4,4,Redundant,0.7335938096250574,0.04484665646001707,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,5,5,Redundant,0.7715041919950749,0.049601559855497794,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,6,6,Redundant,0.8493042993955862,0.06010981608098562,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,7,7,Redundant,0.4382010012877758,0.016001676460800775,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,8,8,Representative,0.44964311621132586,0.016848244329685992,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,9,9,Redundant,0.9334923483745017,0.07261733037281183,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,10,10,Redundant,0.8360262233527977,0.05824498717779517,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,11,11,Representative,0.32680426946449526,0.008900085878351869,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,12,12,Redundant,0.27533571190142037,0.006317479520688497,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,13,13,Redundant,0.7090984202718533,0.04190171413600316,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,14,14,Representative,0.8635002776858826,0.06213606079696636,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,15,15,Redundant,0.903578500760666,0.06803784225307441,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,16,16,Redundant,0.8601550805789251,0.06165556355381143,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,17,17,Redundant,1.139037091005547,0.10811712455719824,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,18,18,Redundant,0.5827357017489999,0.028298408174408277,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,19,19,Representative,0.48473379586854953,0.01958057107142772,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,20,20,Redundant,0.7007056665509437,0.04091570259471686,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,21,21,Redundant,1.0325793302226773,0.08885167276692608,11,2
Malaria,Rural malaria transmission,NSGA-Full,9,22,22,Redundant,1.1274942911547428,0.105936948048878,11,2
Malaria,Rural malaria transmission,MOBO-Full,0,0,0,Redundant,1.4131263843202233,0.1664105148384956,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,1,1,Redundant,0.6312457730685596,0.03320593550141029,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,2,2,Redundant,0.6540261460839225,0.03564584998011569,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,3,3,Representative,0.6822581314628109,0.03878967982892718,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,4,4,Redundant,1.3810218404908594,0.1589351103260634,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,5,5,Redundant,1.1962561700029792,0.11925240202251641,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,6,6,Redundant,1.0499701164823751,0.09186977045883436,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,7,7,Redundant,0.7980869365505042,0.053078563191047375,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,8,8,Representative,0.5935790438874977,0.029361340111866325,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,9,9,Redundant,0.2121787618514957,0.0037516522484028103,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,10,10,Redundant,0.8414043807385857,0.058996777660506906,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,11,11,Representative,1.0357062447437357,0.08939061878343091,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,12,12,Redundant,0.43951664274758045,0.01609790660434202,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,13,13,Redundant,0.9345784343248231,0.07278640415875315,6,1
Malaria,Rural malaria transmission,MOBO-Full,0,14,14,Representative,0.44578354430469047,0.016560247364404326,6,1
